RAM Address (Nr),Variable Name,Description (Original German),Description (Translated English),Unit,NA Formula Number,Normwert (Quantization),Tester Display Range,System Constraints / Code Conditions
1328,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1328,Unassigned RAM Address / Reserved Channel 1328,,,,,
1329,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1329,Unassigned RAM Address / Reserved Channel 1329,,,,,
1330,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1330,Unassigned RAM Address / Reserved Channel 1330,,,,,
1331,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1331,Unassigned RAM Address / Reserved Channel 1331,,,,,
1332,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1332,Unassigned RAM Address / Reserved Channel 1332,,,,,
1333,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1333,Unassigned RAM Address / Reserved Channel 1333,,,,,
1334,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1334,Unassigned RAM Address / Reserved Channel 1334,,,,,
1335,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1335,Unassigned RAM Address / Reserved Channel 1335,,,,,
1336,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1336,Unassigned RAM Address / Reserved Channel 1336,,,,,
1337,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1337,Unassigned RAM Address / Reserved Channel 1337,,,,,
1338,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1338,Unassigned RAM Address / Reserved Channel 1338,,,,,
1339,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1339,Unassigned RAM Address / Reserved Channel 1339,,,,,
1340,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1340,Unassigned RAM Address / Reserved Channel 1340,,,,,
1341,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1341,Unassigned RAM Address / Reserved Channel 1341,,,,,
1342,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1342,Unassigned RAM Address / Reserved Channel 1342,,,,,
1343,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1343,Unassigned RAM Address / Reserved Channel 1343,,,,,
1344,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1344,Unassigned RAM Address / Reserved Channel 1344,,,,,
1345,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1345,Unassigned RAM Address / Reserved Channel 1345,,,,,
1346,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1346,Unassigned RAM Address / Reserved Channel 1346,,,,,
1347,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1347,Unassigned RAM Address / Reserved Channel 1347,,,,,
1348,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1348,Unassigned RAM Address / Reserved Channel 1348,,,,,
1349,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1349,Unassigned RAM Address / Reserved Channel 1349,,,,,
1350,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1350,Unassigned RAM Address / Reserved Channel 1350,,,,,
1351,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1351,Unassigned RAM Address / Reserved Channel 1351,,,,,
1352,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1352,Unassigned RAM Address / Reserved Channel 1352,,,,,
1353,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1353,Unassigned RAM Address / Reserved Channel 1353,,,,,
1354,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1354,Unassigned RAM Address / Reserved Channel 1354,,,,,
1355,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1355,Unassigned RAM Address / Reserved Channel 1355,,,,,
1356,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1356,Unassigned RAM Address / Reserved Channel 1356,,,,,
1357,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1357,Unassigned RAM Address / Reserved Channel 1357,,,,,
1358,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1358,Unassigned RAM Address / Reserved Channel 1358,,,,,
1359,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1359,Unassigned RAM Address / Reserved Channel 1359,,,,,
1360,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1360,Unassigned RAM Address / Reserved Channel 1360,,,,,
1361,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1361,Unassigned RAM Address / Reserved Channel 1361,,,,,
1362,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1362,Unassigned RAM Address / Reserved Channel 1362,,,,,
1363,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1363,Unassigned RAM Address / Reserved Channel 1363,,,,,
1364,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1364,Unassigned RAM Address / Reserved Channel 1364,,,,,
1365,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1365,Unassigned RAM Address / Reserved Channel 1365,,,,,
1366,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1366,Unassigned RAM Address / Reserved Channel 1366,,,,,
1367,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1367,Unassigned RAM Address / Reserved Channel 1367,,,,,
1368,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1368,Unassigned RAM Address / Reserved Channel 1368,,,,,
1369,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1369,Unassigned RAM Address / Reserved Channel 1369,,,,,
1370,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1370,Unassigned RAM Address / Reserved Channel 1370,,,,,
1371,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1371,Unassigned RAM Address / Reserved Channel 1371,,,,,
1372,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1372,Unassigned RAM Address / Reserved Channel 1372,,,,,
1373,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1373,Unassigned RAM Address / Reserved Channel 1373,,,,,
1374,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1374,Unassigned RAM Address / Reserved Channel 1374,,,,,
1375,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1375,Unassigned RAM Address / Reserved Channel 1375,,,,,
1376,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1376,Unassigned RAM Address / Reserved Channel 1376,,,,,
1377,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1377,Unassigned RAM Address / Reserved Channel 1377,,,,,
1378,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1378,Unassigned RAM Address / Reserved Channel 1378,,,,,
1379,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1379,Unassigned RAM Address / Reserved Channel 1379,,,,,
1380,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1380,Unassigned RAM Address / Reserved Channel 1380,,,,,
1381,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1381,Unassigned RAM Address / Reserved Channel 1381,,,,,
1382,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1382,Unassigned RAM Address / Reserved Channel 1382,,,,,
1383,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1383,Unassigned RAM Address / Reserved Channel 1383,,,,,
1384,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1384,Unassigned RAM Address / Reserved Channel 1384,,,,,
1385,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1385,Unassigned RAM Address / Reserved Channel 1385,,,,,
1386,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1386,Unassigned RAM Address / Reserved Channel 1386,,,,,
1387,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1387,Unassigned RAM Address / Reserved Channel 1387,,,,,
1388,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1388,Unassigned RAM Address / Reserved Channel 1388,,,,,
1389,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1389,Unassigned RAM Address / Reserved Channel 1389,,,,,
1390,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1390,Unassigned RAM Address / Reserved Channel 1390,,,,,
1391,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1391,Unassigned RAM Address / Reserved Channel 1391,,,,,
1392,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1392,Unassigned RAM Address / Reserved Channel 1392,,,,,
1393,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1393,Unassigned RAM Address / Reserved Channel 1393,,,,,
1394,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1394,Unassigned RAM Address / Reserved Channel 1394,,,,,
1395,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1395,Unassigned RAM Address / Reserved Channel 1395,,,,,
1396,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1396,Unassigned RAM Address / Reserved Channel 1396,,,,,
1397,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1397,Unassigned RAM Address / Reserved Channel 1397,,,,,
1398,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1398,Unassigned RAM Address / Reserved Channel 1398,,,,,
1399,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1399,Unassigned RAM Address / Reserved Channel 1399,,,,,
1400,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1400,Unassigned RAM Address / Reserved Channel 1400,,,,,
1401,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1401,Unassigned RAM Address / Reserved Channel 1401,,,,,
1402,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1402,Unassigned RAM Address / Reserved Channel 1402,,,,,
1403,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1403,Unassigned RAM Address / Reserved Channel 1403,,,,,
1404,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1404,Unassigned RAM Address / Reserved Channel 1404,,,,,
1405,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1405,Unassigned RAM Address / Reserved Channel 1405,,,,,
1406,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1406,Unassigned RAM Address / Reserved Channel 1406,,,,,
1407,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1407,Unassigned RAM Address / Reserved Channel 1407,,,,,
1408,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1408,Unassigned RAM Address / Reserved Channel 1408,,,,,
1409,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1409,Unassigned RAM Address / Reserved Channel 1409,,,,,
1410,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1410,Unassigned RAM Address / Reserved Channel 1410,,,,,
1411,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1411,Unassigned RAM Address / Reserved Channel 1411,,,,,
1412,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1412,Unassigned RAM Address / Reserved Channel 1412,,,,,
1413,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1413,Unassigned RAM Address / Reserved Channel 1413,,,,,
1414,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1414,Unassigned RAM Address / Reserved Channel 1414,,,,,
1415,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1415,Unassigned RAM Address / Reserved Channel 1415,,,,,
1416,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1416,Unassigned RAM Address / Reserved Channel 1416,,,,,
1417,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1417,Unassigned RAM Address / Reserved Channel 1417,,,,,
1418,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1418,Unassigned RAM Address / Reserved Channel 1418,,,,,
1419,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1419,Unassigned RAM Address / Reserved Channel 1419,,,,,
1420,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1420,Unassigned RAM Address / Reserved Channel 1420,,,,,
1421,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1421,Unassigned RAM Address / Reserved Channel 1421,,,,,
1422,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1422,Unassigned RAM Address / Reserved Channel 1422,,,,,
1423,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1423,Unassigned RAM Address / Reserved Channel 1423,,,,,
1424,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1424,Unassigned RAM Address / Reserved Channel 1424,,,,,
1425,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1425,Unassigned RAM Address / Reserved Channel 1425,,,,,
1426,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1426,Unassigned RAM Address / Reserved Channel 1426,,,,,
1427,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1427,Unassigned RAM Address / Reserved Channel 1427,,,,,
1428,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1428,Unassigned RAM Address / Reserved Channel 1428,,,,,
1429,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1429,Unassigned RAM Address / Reserved Channel 1429,,,,,
1430,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1430,Unassigned RAM Address / Reserved Channel 1430,,,,,
1431,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1431,Unassigned RAM Address / Reserved Channel 1431,,,,,
1432,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1432,Unassigned RAM Address / Reserved Channel 1432,,,,,
1433,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1433,Unassigned RAM Address / Reserved Channel 1433,,,,,
1434,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1434,Unassigned RAM Address / Reserved Channel 1434,,,,,
1435,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1435,Unassigned RAM Address / Reserved Channel 1435,,,,,
1436,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1436,Unassigned RAM Address / Reserved Channel 1436,,,,,
1437,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1437,Unassigned RAM Address / Reserved Channel 1437,,,,,
1438,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1438,Unassigned RAM Address / Reserved Channel 1438,,,,,
1439,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1439,Unassigned RAM Address / Reserved Channel 1439,,,,,
1440,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1440,Unassigned RAM Address / Reserved Channel 1440,,,,,
1441,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1441,Unassigned RAM Address / Reserved Channel 1441,,,,,
1442,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1442,Unassigned RAM Address / Reserved Channel 1442,,,,,
1443,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1443,Unassigned RAM Address / Reserved Channel 1443,,,,,
1444,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1444,Unassigned RAM Address / Reserved Channel 1444,,,,,
1445,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1445,Unassigned RAM Address / Reserved Channel 1445,,,,,
1446,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1446,Unassigned RAM Address / Reserved Channel 1446,,,,,
1447,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1447,Unassigned RAM Address / Reserved Channel 1447,,,,,
1448,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1448,Unassigned RAM Address / Reserved Channel 1448,,,,,
1449,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1449,Unassigned RAM Address / Reserved Channel 1449,,,,,
1450,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1450,Unassigned RAM Address / Reserved Channel 1450,,,,,
1451,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1451,Unassigned RAM Address / Reserved Channel 1451,,,,,
1452,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1452,Unassigned RAM Address / Reserved Channel 1452,,,,,
1453,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1453,Unassigned RAM Address / Reserved Channel 1453,,,,,
1454,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1454,Unassigned RAM Address / Reserved Channel 1454,,,,,
1455,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1455,Unassigned RAM Address / Reserved Channel 1455,,,,,
1456,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1456,Unassigned RAM Address / Reserved Channel 1456,,,,,
1457,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1457,Unassigned RAM Address / Reserved Channel 1457,,,,,
1458,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1458,Unassigned RAM Address / Reserved Channel 1458,,,,,
1459,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1459,Unassigned RAM Address / Reserved Channel 1459,,,,,
1460,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1460,Unassigned RAM Address / Reserved Channel 1460,,,,,
1461,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1461,Unassigned RAM Address / Reserved Channel 1461,,,,,
1462,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1462,Unassigned RAM Address / Reserved Channel 1462,,,,,
1463,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1463,Unassigned RAM Address / Reserved Channel 1463,,,,,
1464,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1464,Unassigned RAM Address / Reserved Channel 1464,,,,,
1465,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1465,Unassigned RAM Address / Reserved Channel 1465,,,,,
1466,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1466,Unassigned RAM Address / Reserved Channel 1466,,,,,
1467,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1467,Unassigned RAM Address / Reserved Channel 1467,,,,,
1468,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1468,Unassigned RAM Address / Reserved Channel 1468,,,,,
1469,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1469,Unassigned RAM Address / Reserved Channel 1469,,,,,
1470,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1470,Unassigned RAM Address / Reserved Channel 1470,,,,,
1471,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1471,Unassigned RAM Address / Reserved Channel 1471,,,,,
1472,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1472,Unassigned RAM Address / Reserved Channel 1472,,,,,
1473,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1473,Unassigned RAM Address / Reserved Channel 1473,,,,,
1474,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1474,Unassigned RAM Address / Reserved Channel 1474,,,,,
1475,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1475,Unassigned RAM Address / Reserved Channel 1475,,,,,
1476,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1476,Unassigned RAM Address / Reserved Channel 1476,,,,,
1477,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1477,Unassigned RAM Address / Reserved Channel 1477,,,,,
1478,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1478,Unassigned RAM Address / Reserved Channel 1478,,,,,
1479,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1479,Unassigned RAM Address / Reserved Channel 1479,,,,,
1480,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1480,Unassigned RAM Address / Reserved Channel 1480,,,,,
1481,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1481,Unassigned RAM Address / Reserved Channel 1481,,,,,
1482,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1482,Unassigned RAM Address / Reserved Channel 1482,,,,,
1483,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1483,Unassigned RAM Address / Reserved Channel 1483,,,,,
1484,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1484,Unassigned RAM Address / Reserved Channel 1484,,,,,
1485,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1485,Unassigned RAM Address / Reserved Channel 1485,,,,,
1486,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1486,Unassigned RAM Address / Reserved Channel 1486,,,,,
1487,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1487,Unassigned RAM Address / Reserved Channel 1487,,,,,
1488,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1488,Unassigned RAM Address / Reserved Channel 1488,,,,,
1489,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1489,Unassigned RAM Address / Reserved Channel 1489,,,,,
1490,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1490,Unassigned RAM Address / Reserved Channel 1490,,,,,
1491,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1491,Unassigned RAM Address / Reserved Channel 1491,,,,,
1492,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1492,Unassigned RAM Address / Reserved Channel 1492,,,,,
1493,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1493,Unassigned RAM Address / Reserved Channel 1493,,,,,
1494,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1494,Unassigned RAM Address / Reserved Channel 1494,,,,,
1495,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1495,Unassigned RAM Address / Reserved Channel 1495,,,,,
1496,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1496,Unassigned RAM Address / Reserved Channel 1496,,,,,
1497,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1497,Unassigned RAM Address / Reserved Channel 1497,,,,,
1498,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1498,Unassigned RAM Address / Reserved Channel 1498,,,,,
1499,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1499,Unassigned RAM Address / Reserved Channel 1499,,,,,
1500,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1500,Unassigned RAM Address / Reserved Channel 1500,,,,,
1501,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1501,Unassigned RAM Address / Reserved Channel 1501,,,,,
1502,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1502,Unassigned RAM Address / Reserved Channel 1502,,,,,
1503,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1503,Unassigned RAM Address / Reserved Channel 1503,,,,,
1504,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1504,Unassigned RAM Address / Reserved Channel 1504,,,,,
1505,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1505,Unassigned RAM Address / Reserved Channel 1505,,,,,
1506,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1506,Unassigned RAM Address / Reserved Channel 1506,,,,,
1507,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1507,Unassigned RAM Address / Reserved Channel 1507,,,,,
1508,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1508,Unassigned RAM Address / Reserved Channel 1508,,,,,
1509,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1509,Unassigned RAM Address / Reserved Channel 1509,,,,,
1510,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1510,Unassigned RAM Address / Reserved Channel 1510,,,,,
1511,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1511,Unassigned RAM Address / Reserved Channel 1511,,,,,
1512,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1512,Unassigned RAM Address / Reserved Channel 1512,,,,,
1513,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1513,Unassigned RAM Address / Reserved Channel 1513,,,,,
1514,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1514,Unassigned RAM Address / Reserved Channel 1514,,,,,
1515,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1515,Unassigned RAM Address / Reserved Channel 1515,,,,,
1516,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1516,Unassigned RAM Address / Reserved Channel 1516,,,,,
1517,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1517,Unassigned RAM Address / Reserved Channel 1517,,,,,
1518,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1518,Unassigned RAM Address / Reserved Channel 1518,,,,,
1519,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1519,Unassigned RAM Address / Reserved Channel 1519,,,,,
1520,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1520,Unassigned RAM Address / Reserved Channel 1520,,,,,
1521,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1521,Unassigned RAM Address / Reserved Channel 1521,,,,,
1522,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1522,Unassigned RAM Address / Reserved Channel 1522,,,,,
1523,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1523,Unassigned RAM Address / Reserved Channel 1523,,,,,
1524,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1524,Unassigned RAM Address / Reserved Channel 1524,,,,,
1525,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1525,Unassigned RAM Address / Reserved Channel 1525,,,,,
1526,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1526,Unassigned RAM Address / Reserved Channel 1526,,,,,
1527,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1527,Unassigned RAM Address / Reserved Channel 1527,,,,,
1528,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1528,Unassigned RAM Address / Reserved Channel 1528,,,,,
1529,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1529,Unassigned RAM Address / Reserved Channel 1529,,,,,
1530,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1530,Unassigned RAM Address / Reserved Channel 1530,,,,,
1531,Freie RAM-Zelle / Reserviert,Nicht belegter Kanal / Adresse 1531,Unassigned RAM Address / Reserved Channel 1531,,,,,
